epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.785,1.29466,0.68094,0.80753,0.77702,0.65913,0.7088,0.40202,1.15703,0.64889,0.80801,0.00091175,0.00091175,0.00091175
43,184.034,1.33944,0.70074,0.80255,0.796,0.60936,0.69803,0.3908,1.17902,0.65301,0.8083,0.0009035,0.0009035,0.0009035
44,188.687,1.28281,0.68123,0.80317,0.8129,0.67074,0.72841,0.42037,1.16406,0.64401,0.8051,0.00089525,0.00089525,0.00089525
45,193.157,1.31086,0.68944,0.80221,0.79434,0.6319,0.71432,0.40372,1.1306,0.63583,0.8067,0.000887,0.000887,0.000887
46,197.515,1.27195,0.67212,0.80448,0.77269,0.67242,0.72071,0.41734,1.15021,0.6422,0.80697,0.00087875,0.00087875,0.00087875
47,201.934,1.27694,0.67008,0.80514,0.81991,0.66916,0.71989,0.41078,1.17416,0.64955,0.81129,0.0008705,0.0008705,0.0008705
48,206.292,1.25178,0.66452,0.80362,0.79044,0.67591,0.69522,0.39853,1.15974,0.65379,0.81047,0.00086225,0.00086225,0.00086225
49,210.404,1.31031,0.68887,0.80477,0.85252,0.66046,0.73416,0.4045,1.19928,0.64324,0.80757,0.000854,0.000854,0.000854
50,214.682,1.26215,0.66515,0.80299,0.88362,0.69319,0.754,0.44147,1.13253,0.62003,0.8041,0.00084575,0.00084575,0.00084575
51,218.963,1.27151,0.66446,0.80182,0.80596,0.69831,0.7352,0.42758,1.1688,0.64081,0.80836,0.0008375,0.0008375,0.0008375
52,223.2,1.2684,0.66939,0.80444,0.76446,0.68518,0.73,0.4174,1.18969,0.62424,0.80655,0.00082925,0.00082925,0.00082925
53,227.417,1.28619,0.6603,0.79755,0.82503,0.68713,0.75081,0.42261,1.16279,0.61865,0.80699,0.000821,0.000821,0.000821
54,231.672,1.30181,0.6574,0.80105,0.83143,0.66169,0.73304,0.41653,1.1541,0.61903,0.80945,0.00081275,0.00081275,0.00081275
55,235.885,1.29457,0.65866,0.80222,0.78314,0.65487,0.69437,0.3954,1.15682,0.63228,0.80749,0.0008045,0.0008045,0.0008045
56,240.187,1.27116,0.65037,0.79667,0.82494,0.71514,0.73966,0.43229,1.11554,0.60204,0.80238,0.00079625,0.00079625,0.00079625
57,244.416,1.27545,0.64293,0.80256,0.83266,0.64294,0.71843,0.42555,1.16705,0.61495,0.8088,0.000788,0.000788,0.000788
58,248.798,1.29892,0.65974,0.80175,0.78598,0.67155,0.72803,0.41885,1.18713,0.62802,0.80887,0.00077975,0.00077975,0.00077975
59,253.157,1.26738,0.65115,0.79532,0.81743,0.69397,0.74859,0.44332,1.14466,0.60634,0.80874,0.0007715,0.0007715,0.0007715
60,257.707,1.27732,0.65437,0.80127,0.87586,0.6672,0.74524,0.43004,1.17471,0.63698,0.8095,0.00076325,0.00076325,0.00076325
61,261.92,1.31771,0.66323,0.8023,0.81844,0.691,0.70254,0.40823,1.16498,0.63054,0.80339,0.000755,0.000755,0.000755
62,266.214,1.26328,0.64614,0.79688,0.81824,0.68194,0.73725,0.42855,1.12546,0.60629,0.80389,0.00074675,0.00074675,0.00074675
63,270.516,1.2344,0.63268,0.7994,0.89078,0.72912,0.75786,0.44678,1.10023,0.58989,0.80337,0.0007385,0.0007385,0.0007385
64,274.7,1.24572,0.62812,0.79699,0.88406,0.70243,0.74853,0.44731,1.11442,0.59266,0.80374,0.00073025,0.00073025,0.00073025
65,278.894,1.24417,0.63334,0.79851,0.82267,0.67759,0.73386,0.42999,1.11566,0.60054,0.80459,0.000722,0.000722,0.000722
66,283.082,1.27598,0.63653,0.79749,0.76769,0.62965,0.712,0.39116,1.22131,0.64943,0.81593,0.00071375,0.00071375,0.00071375
67,287.211,1.2785,0.63943,0.80089,0.85807,0.68117,0.744,0.43837,1.13527,0.61271,0.80338,0.0007055,0.0007055,0.0007055
68,291.449,1.25977,0.62421,0.79623,0.74956,0.7086,0.74891,0.43846,1.13597,0.59849,0.80283,0.00069725,0.00069725,0.00069725
69,295.689,1.24305,0.62992,0.79954,0.76488,0.71343,0.74277,0.435,1.14089,0.60513,0.80464,0.000689,0.000689,0.000689
70,299.958,1.22975,0.62207,0.79855,0.84619,0.71039,0.75346,0.4444,1.12326,0.58561,0.80344,0.00068075,0.00068075,0.00068075
71,304.188,1.24419,0.62838,0.79626,0.85729,0.68577,0.75461,0.45113,1.12599,0.59977,0.80378,0.0006725,0.0006725,0.0006725
72,308.417,1.23292,0.62645,0.79874,0.81076,0.71278,0.76082,0.44914,1.11155,0.58135,0.8017,0.00066425,0.00066425,0.00066425
73,312.573,1.22503,0.61445,0.79603,0.78533,0.68855,0.74301,0.45094,1.1053,0.58682,0.80272,0.000656,0.000656,0.000656
74,316.764,1.22315,0.61666,0.79748,0.82229,0.70771,0.74706,0.4515,1.10011,0.58338,0.80177,0.00064775,0.00064775,0.00064775
75,321.007,1.22855,0.61693,0.7968,0.86766,0.67863,0.74268,0.45196,1.09722,0.5801,0.80224,0.0006395,0.0006395,0.0006395
76,325.251,1.2304,0.61428,0.79186,0.90191,0.68347,0.74809,0.44953,1.11339,0.57706,0.80063,0.00063125,0.00063125,0.00063125
77,329.563,1.2088,0.60168,0.79384,0.90744,0.669,0.74265,0.44724,1.09853,0.58534,0.79976,0.000623,0.000623,0.000623
78,333.718,1.22955,0.60807,0.79017,0.90658,0.67419,0.75179,0.42961,1.11193,0.59087,0.80268,0.00061475,0.00061475,0.00061475
79,337.985,1.16793,0.60163,0.80002,0.93091,0.69263,0.77184,0.45001,1.10421,0.57781,0.80115,0.0006065,0.0006065,0.0006065
80,342.192,1.25222,0.6238,0.79651,0.88399,0.70784,0.76732,0.44119,1.15544,0.59528,0.80371,0.00059825,0.00059825,0.00059825
81,346.497,1.19484,0.60182,0.79326,0.89,0.70454,0.76325,0.44563,1.10386,0.5801,0.80078,0.00059,0.00059,0.00059
82,350.629,1.21854,0.60092,0.79238,0.85087,0.69989,0.74746,0.44045,1.12429,0.58551,0.80207,0.00058175,0.00058175,0.00058175
83,355.011,1.18974,0.59925,0.80002,0.88611,0.68336,0.76607,0.45349,1.10906,0.57638,0.79781,0.0005735,0.0005735,0.0005735
84,359.177,1.18539,0.59534,0.79149,0.87785,0.68289,0.74829,0.44132,1.0931,0.58581,0.7998,0.00056525,0.00056525,0.00056525
85,363.366,1.22146,0.60908,0.7946,0.89638,0.68057,0.75475,0.44995,1.11078,0.58729,0.80216,0.000557,0.000557,0.000557
86,367.623,1.21301,0.60482,0.79504,0.9218,0.70354,0.76658,0.45156,1.11984,0.58018,0.80414,0.00054875,0.00054875,0.00054875
87,371.898,1.21683,0.6051,0.79629,0.89496,0.68552,0.75801,0.46039,1.08788,0.57732,0.80143,0.0005405,0.0005405,0.0005405
88,376.134,1.16319,0.59288,0.80056,0.8704,0.71306,0.76158,0.45407,1.1305,0.57126,0.80831,0.00053225,0.00053225,0.00053225
89,380.438,1.21796,0.5998,0.79387,0.82421,0.7111,0.75664,0.43565,1.14944,0.58346,0.79906,0.000524,0.000524,0.000524
90,384.749,1.23105,0.61001,0.79288,0.79556,0.74584,0.77084,0.45264,1.11642,0.57456,0.79929,0.00051575,0.00051575,0.00051575
91,389.09,1.19185,0.59806,0.7958,0.81433,0.73723,0.76308,0.44833,1.09593,0.57441,0.79985,0.0005075,0.0005075,0.0005075
92,393.411,1.20208,0.5984,0.79248,0.83846,0.73853,0.7782,0.45885,1.09277,0.56822,0.80105,0.00049925,0.00049925,0.00049925
93,397.618,1.19325,0.59132,0.79249,0.85326,0.7428,0.77909,0.45749,1.08016,0.55713,0.80281,0.000491,0.000491,0.000491
94,402.029,1.20557,0.59171,0.78978,0.77779,0.74677,0.77474,0.46054,1.11803,0.57478,0.79914,0.00048275,0.00048275,0.00048275
95,406.205,1.19739,0.59027,0.7968,0.84985,0.69789,0.76413,0.45012,1.14809,0.58236,0.8007,0.0004745,0.0004745,0.0004745
96,410.419,1.20444,0.58686,0.79667,0.89395,0.68196,0.76029,0.45752,1.0955,0.55819,0.80014,0.00046625,0.00046625,0.00046625
97,414.527,1.17548,0.58123,0.79309,0.83,0.70513,0.77496,0.45903,1.07429,0.56438,0.80065,0.000458,0.000458,0.000458
98,418.71,1.19027,0.57863,0.79257,0.82722,0.72267,0.77399,0.46295,1.0905,0.55482,0.79823,0.00044975,0.00044975,0.00044975
99,422.816,1.16477,0.57782,0.79331,0.82448,0.75582,0.78538,0.47288,1.06274,0.55849,0.79599,0.0004415,0.0004415,0.0004415
100,427.036,1.17109,0.5779,0.79218,0.83238,0.73977,0.78539,0.46477,1.08425,0.55667,0.79727,0.00043325,0.00043325,0.00043325
101,431.292,1.19064,0.57777,0.78841,0.86962,0.70272,0.7694,0.46774,1.08828,0.56635,0.79598,0.000425,0.000425,0.000425
102,435.503,1.17359,0.57677,0.79325,0.90443,0.68954,0.77555,0.47244,1.07108,0.5621,0.79571,0.00041675,0.00041675,0.00041675
103,439.691,1.16226,0.57667,0.78877,0.86874,0.6788,0.76678,0.47044,1.08818,0.56275,0.79689,0.0004085,0.0004085,0.0004085
104,444.039,1.19862,0.58338,0.79119,0.83643,0.70297,0.76534,0.46821,1.08473,0.55738,0.79642,0.00040025,0.00040025,0.00040025
105,448.348,1.20421,0.58572,0.78696,0.86766,0.67966,0.76669,0.47493,1.06804,0.56443,0.79437,0.000392,0.000392,0.000392
106,452.549,1.17457,0.56777,0.7871,0.86241,0.70731,0.77676,0.47757,1.09192,0.55689,0.79657,0.00038375,0.00038375,0.00038375
107,456.733,1.17967,0.56819,0.79375,0.90531,0.72197,0.79099,0.47862,1.07149,0.55622,0.79671,0.0003755,0.0003755,0.0003755
108,460.953,1.19345,0.57394,0.7923,0.82269,0.73512,0.78645,0.46492,1.08617,0.55249,0.79652,0.00036725,0.00036725,0.00036725
109,465.177,1.15017,0.56014,0.78936,0.81315,0.73075,0.78289,0.4601,1.0834,0.55914,0.79799,0.000359,0.000359,0.000359
110,469.484,1.18436,0.56651,0.78663,0.81138,0.72358,0.77116,0.46761,1.07091,0.55857,0.79601,0.00035075,0.00035075,0.00035075
111,473.732,1.17025,0.56173,0.78741,0.85589,0.71986,0.78158,0.4695,1.07071,0.54934,0.79623,0.0003425,0.0003425,0.0003425
112,478.007,1.17564,0.56883,0.78793,0.88939,0.7435,0.77825,0.46472,1.09447,0.55726,0.79584,0.00033425,0.00033425,0.00033425
113,482.376,1.14095,0.55298,0.79024,0.86354,0.73779,0.77142,0.4654,1.07304,0.55296,0.79752,0.000326,0.000326,0.000326
114,486.637,1.1442,0.56139,0.79032,0.91488,0.72505,0.78752,0.4744,1.05962,0.5464,0.79528,0.00031775,0.00031775,0.00031775
115,490.855,1.13905,0.55954,0.79486,0.85494,0.71488,0.78149,0.46734,1.07378,0.54842,0.79763,0.0003095,0.0003095,0.0003095
116,495.051,1.13948,0.55582,0.78705,0.8576,0.68965,0.75891,0.46347,1.05945,0.54679,0.79696,0.00030125,0.00030125,0.00030125
